GroupID,IndID,group_size,transform_grandmc,similar,similarL1_groupmc,similarL2,tau_00,v0j,tau_01,tau_10,tau_11,v1j,gamma_00,u0j,gamma_01,gamma_10,gamma_11,u1j,LMX,sigma_i,e_ij,transform_c2
1,1,7,0.148172288,-1.558849789,-0.708990145,-0.849859644,-0.143841036,0.037179927,-0.15,-0.15,0.075,0.050177218,0,0.001747055,0.559016994,0.559016994,-0.279508497,-0.00753519,-1.703041696,1.071323742,-0.922153608,-1.851827712
1,2,7,0.148172288,-2.643285983,-1.793426338,-0.849859644,-0.143841036,0.037179927,-0.15,-0.15,0.075,0.050177218,0,0.001747055,0.559016994,0.559016994,-0.279508497,-0.00753519,-1.288899526,1.179505414,0.045123017,-1.851827712
1,3,7,0.148172288,-2.018000432,-1.168140787,-0.849859644,-0.143841036,0.037179927,-0.15,-0.15,0.075,0.050177218,0,0.001747055,0.559016994,0.559016994,-0.279508497,-0.00753519,-0.608006698,1.115860901,0.407078701,-1.851827712
1,4,7,0.148172288,-0.776962969,0.072896675,-0.849859644,-0.143841036,0.037179927,-0.15,-0.15,0.075,0.050177218,0,0.001747055,0.559016994,0.559016994,-0.279508497,-0.00753519,0.534406105,0.999534064,0.916480005,-1.851827712
1,5,7,0.148172288,-0.828591664,0.021267981,-0.849859644,-0.143841036,0.037179927,-0.15,-0.15,0.075,0.050177218,0,0.001747055,0.559016994,0.559016994,-0.279508497,-0.00753519,-0.895441253,1.004122403,-0.487033291,-1.851827712
1,6,7,0.148172288,-1.815828859,-0.965969214,-0.849859644,-0.143841036,0.037179927,-0.15,-0.15,0.075,0.050177218,0,0.001747055,0.559016994,0.559016994,-0.279508497,-0.00753519,-4.337208777,1.096026759,-3.425244302,-1.851827712
1,7,7,0.148172288,-1.677008485,-0.827148841,-0.849859644,-0.143841036,0.037179927,-0.15,-0.15,0.075,0.050177218,0,0.001747055,0.559016994,0.559016994,-0.279508497,-0.00753519,-0.255027041,1.082612247,0.586129827,-1.851827712
2,1,8,1.302471701,0.818560787,1.057516568,-0.238955781,-0.143841036,-0.032466716,-0.15,-0.15,0.075,-0.083491817,0,0.040384226,0.559016994,0.559016994,-0.279508497,0.097294036,0.463609746,0.660783442,-0.227665173,-0.697528299
2,2,8,1.302471701,1.036879699,1.27583548,-0.238955781,-0.143841036,-0.032466716,-0.15,-0.15,0.075,-0.083491817,0,0.040384226,0.559016994,0.559016994,-0.279508497,0.097294036,1.453725768,0.641479386,0.698645155,-0.697528299
2,3,8,1.302471701,0.044003812,0.282959593,-0.238955781,-0.143841036,-0.032466716,-0.15,-0.15,0.075,-0.083491817,0,0.040384226,0.559016994,0.559016994,-0.279508497,0.097294036,0.12798732,0.734078513,-0.336916257,-0.697528299
2,4,8,1.302471701,0.71720627,0.956162051,-0.238955781,-0.143841036,-0.032466716,-0.15,-0.15,0.075,-0.083491817,0,0.040384226,0.559016994,0.559016994,-0.279508497,0.097294036,0.182826197,0.669941744,-0.47882694,-0.697528299
2,5,8,1.302471701,-0.854595793,-0.615640012,-0.238955781,-0.143841036,-0.032466716,-0.15,-0.15,0.075,-0.083491817,0,0.040384226,0.559016994,0.559016994,-0.279508497,0.097294036,-0.980617048,0.829357746,-1.182896693,-0.697528299
2,6,8,1.302471701,1.498213802,1.737169583,-0.238955781,-0.143841036,-0.032466716,-0.15,-0.15,0.075,-0.083491817,0,0.040384226,0.559016994,0.559016994,-0.279508497,0.097294036,1.677647589,0.602522439,0.787737875,-0.697528299
2,7,8,1.302471701,-0.274610368,-0.035654587,-0.238955781,-0.143841036,-0.032466716,-0.15,-0.15,0.075,-0.083491817,0,0.040384226,0.559016994,0.559016994,-0.279508497,0.097294036,0.579377062,0.766539206,0.207591385,-0.697528299
2,8,8,1.302471701,0.527603135,0.766558916,-0.238955781,-0.143841036,-0.032466716,-0.15,-0.15,0.075,-0.083491817,0,0.040384226,0.559016994,0.559016994,-0.279508497,0.097294036,0.74894936,0.687416307,0.142709469,-0.697528299
